49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,23,23,
49,49,49,49,49,49,49,49,49,49,49,23,49,49,49,49,49,49,23,23,23,23,49,23,23,
49,49,49,49,49,49,49,49,49,5,49,23,49,49,49,49,49,49,49,49,49,49,49,23,23,
49,49,49,49,49,49,49,49,49,5,49,23,49,49,23,49,49,49,49,49,23,49,49,23,23,
49,49,49,49,49,49,49,49,49,5,49,23,49,49,23,49,49,23,49,49,23,49,49,23,23,
49,49,21,22,49,49,49,49,49,5,49,49,23,23,49,49,23,23,49,49,23,49,49,23,23,
49,49,26,27,21,22,49,49,49,5,49,49,49,49,49,49,49,49,23,23,23,49,49,23,23,
49,49,49,49,26,27,49,49,49,5,5,5,5,5,5,49,5,49,23,49,49,49,49,23,23,
49,49,49,49,49,49,49,49,49,5,35,35,35,35,35,35,23,49,23,49,49,49,49,23,23,
49,21,22,49,49,49,49,49,49,5,35,35,35,35,35,35,23,49,23,49,49,49,49,23,23,
49,26,27,49,49,49,49,49,49,5,35,35,24,24,24,35,23,49,49,49,49,49,49,23,23,
49,49,49,49,49,49,49,49,49,5,35,35,35,35,35,35,23,49,49,49,49,49,49,23,23,
49,49,49,49,49,49,49,49,49,5,23,23,23,23,23,23,23,49,49,49,49,49,49,23,23,
49,49,49,49,21,22,49,49,49,5,45,45,45,45,35,35,35,5,23,23,23,23,23,23,23,
49,49,49,49,26,27,49,49,49,5,45,45,45,45,35,35,35,5,23,23,23,23,23,23,23,
49,49,49,49,49,49,49,49,49,5,45,45,45,45,35,35,35,5,23,23,23,23,23,23,23,
49,49,49,49,49,49,21,22,49,5,45,45,45,45,35,35,35,5,23,23,23,23,23,23,23,
49,49,49,49,49,49,26,27,49,5,45,45,45,45,35,35,35,5,23,23,23,23,23,23,23,
49,21,22,49,49,49,49,49,49,5,45,45,45,45,21,22,51,5,23,23,23,23,23,23,55,
49,26,27,49,49,49,49,49,49,5,45,45,45,45,26,27,56,57,57,57,58,59,57,57,60,
49,49,49,49,49,49,49,49,49,4,4,4,4,4,4,5,49,49,49,5,48,48,48,48,48,
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,5,49,49,49,5,48,48,21,22,48,
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,5,49,23,23,5,48,48,26,27,48,
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,5,49,49,49,5,48,48,48,48,48,
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,5,49,49,49,5,48,48,48,48,48
